"Substrate_ACC","Substrate_GN","sites","Peptides","log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1."
"Q71DI3","H3C15","NA","NA",-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
"P84243","H3-3A","NA","NA",-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
"P68431","H3C1","NA","NA",-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
"Q6NXT2","H3-5","NA","NA",-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
"P84244","H3-3a","NA","NA",-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
"P84228","H3c2","NA","NA",-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
"P68433","H3c1","NA","NA",-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
"Q16778","H2BC21","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"Q8N257","H2BC26","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"P62807","H2BC4","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"P23527","H2BC17","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"Q99880","H2BC13","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"O60814","H2BC12","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"P06899","H2BC11","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"Q99877","H2BC15","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"P58876","H2BC5","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"Q93079","H2BC9","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
"Q8CGP2","Hist1h2bp","NA","NA",-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
