"Substrate_ACC","Substrate_GN","sites","Peptides","Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.","Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.","Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1..1","Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.","Basal.breast.cancer.rep2.Basal.breast.cancer.rep1..1","Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1..1"
"P84243","H3-3A",NA,NA,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
"Q16695","H3-4",NA,NA,-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"P84243","H3-3A",NA,NA,-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
"P06748","NPM1",NA,NA,-0.13,1.023,0.621,0.115,1.12,0.957,0.051,-0.128,0.677
"P06748","NPM1",NA,NA,-0.589,0.911,0.587,0.317,0.821,0.902,0.256,0.003,0.656
"P04406","GAPDH",NA,NA,-0.125,1.62,1.582,0.353,1.778,1.579,0.33,-0.127,1.543
"P0C0S5","H2AZ1",NA,NA,-0.295,-1.011,-1.215,0.062,-1.316,-0.967,-0.427,-0.238,-1.34
"P04406","GAPDH",NA,NA,-0.488,1.351,0.989,0.396,1.47,1.248,0.207,-0.034,1.237
"P06748","NPM1",NA,NA,-0.523,0.521,-0.197,0.173,-0.113,0.517,-0.224,-0.288,-0.146
"Q96A08","H2BC1",NA,NA,-0.095,0.304,0.204,0.179,0.029,0.254,-0.031,-0.245,0.11
"Q15233","NONO",NA,NA,-0.156,0.226,0.092,0.164,0.478,-0.004,0.757,-0.133,0.037
"Q15596","NCOA2",NA,NA,-0.075,0.206,0.171,0.043,0.355,0.198,0.129,0.042,0.092
"P16401","H1-5",NA,NA,-0.388,0.385,0.212,0.137,-0.063,0.33,0.439,-0.205,0.201
"P04406","GAPDH",NA,NA,-0.528,1.894,1.505,0.378,2.092,1.959,-0.016,0.057,1.148
"P04406","GAPDH",NA,NA,-0.253,0.826,0.565,0.255,1.037,1.09,0.03,0.116,0.902
"Q96A08","H2BC1",NA,NA,-0.209,0.193,-0.104,-0.058,0.147,0.266,0.431,-0.117,-0.101
"P17844","DDX5",NA,NA,-0.114,-0.083,-0.334,0.311,-0.374,0.013,-0.052,-0.186,-0.213
"P04406","GAPDH",NA,NA,-0.382,1.585,1.514,0.347,1.53,1.407,0.139,0.005,1.213
"P04406","GAPDH",NA,NA,-0.249,1.641,1.363,0.548,2.006,1.419,0.188,0.015,1.526
"Q03111","MLLT1",NA,NA,-0.086,-0.287,-0.522,0.3,-0.029,-0.052,0.414,0.036,-0.245
"Q09472","EP300",NA,NA,-0.195,-0.425,-1.392,0.109,-1.225,-1.083,-0.693,-0.623,-1.898
"Q15233","NONO",NA,NA,-0.255,-0.187,-0.371,0.204,-0.353,-0.21,0.031,-0.268,-0.362
"Q09472","EP300",NA,NA,-0.438,-0.582,-0.479,0.265,-0.548,-0.274,0.052,-0.103,-0.446
"P04406","GAPDH",NA,NA,-0.183,1.672,1.526,0.623,1.805,1.776,0.525,0.079,1.541
"P06748","NPM1",NA,NA,-0.168,0.511,0.321,0.394,0.486,0.613,0.399,-0.262,0.453
"P35579","MYH9",NA,NA,-0.208,2.539,2.13,0.802,2.361,2.509,0.55,0.349,2.079
"Q09472","EP300",NA,NA,-0.108,0.296,0.266,0.568,0.364,0.145,0.361,0.296,-0.02
"Q15596","NCOA2",NA,NA,-0.148,0.166,0.271,0.35,0.03,0.297,0.072,0.568,-0.088
"Q9HAF1","MEAF6",NA,NA,-0.403,-0.688,-0.898,0.071,-1.14,-0.709,-0.465,-0.412,-1.08
"O95251","KAT7",NA,NA,-0.25,-0.459,-0.662,0.011,-0.281,-0.275,0.027,-0.319,-0.563
"Q9Y5B9","SUPT16H",NA,NA,-0.447,-0.339,-0.434,0.1,-0.355,-0.066,0.075,0.366,-0.179
"Q09472","EP300",NA,NA,0.013,-0.474,-0.412,0.152,-0.524,-0.317,-0.029,0.02,-0.473
"Q16576","RBBP7",NA,NA,-0.636,-0.286,-0.542,0.164,-0.294,-0.197,-0.318,-0.35,-0.135
"P04406","GAPDH",NA,NA,-0.207,1.532,1.356,0.382,1.698,1.354,0.329,0.279,1.172
"P07900","HSP90AA1",NA,NA,1.683,0.194,0.277,0.416,0.452,0.159,0.845,0.268,0.567
"P06748","NPM1",NA,NA,-0.259,0.233,0.157,0.107,-0.138,0.185,0.206,-0.186,-0.037
"P08670","VIM",NA,NA,-0.186,0.974,0.976,0.293,0.783,0.999,0.215,0.096,0.985
"Q09472","EP300",NA,NA,-0.261,-0.98,-1.14,-0.121,-1.75,-0.878,0.044,-0.471,-1.054
"P09622","DLD",NA,NA,0.023,0.291,-0.154,0.297,0.098,0.09,-0.107,0.224,0.037
"Q09472","EP300",NA,NA,-0.235,-0.6,-0.774,0.106,-0.644,-0.537,-0.051,-0.165,-0.871
"P12956","XRCC6",NA,NA,-0.112,-0.021,-0.143,0.107,-0.079,-0.031,0.164,0.111,-0.138
"P0C0S5","H2AZ1",NA,NA,-0.273,-2.004,-2.269,0.073,-2.729,-2.188,-0.186,-0.197,-2.602
"P06748","NPM1",NA,NA,-0.119,0.213,0.332,0.216,0.452,0.349,0.207,0.204,0.179
"Q9H0E9","BRD8",NA,NA,0.105,-1.067,-1.931,-0.011,-1.724,-2.376,0.04,0.019,-1.611
