accession_numbers,log2_TMT_127N_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_127C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_128N_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_128C_126_median..Basal.breast.cancer.rep1.Basal.breast.cancer.rep1.,log2_TMT_129N_126_median..Luminal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_129C_126_median..Luminal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_130N_126_median..Basal.breast.cancer.rep3.Basal.breast.cancer.rep1.,log2_TMT_130C_126_median..Basal.breast.cancer.rep2.Basal.breast.cancer.rep1.,log2_TMT_131_126_median..Luminal.breast.cancer.rep1.Basal.breast.cancer.rep1.
NP_066403,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
NP_005315,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
NP_003520,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
NP_001013721,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
NP_032236,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
NP_835587,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
NP_001074488,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
NP_835513,-0.096,0.742,0.283,0.242,-0.122,0.67,0.583,-0.055,0.311
NP_003519,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_778225,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_003516,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_003518,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_003510,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_542160,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_066402,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_003511,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_066407,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_003515,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_996765,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_835509,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_001104025,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_835586,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_835501,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_835507,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_835508,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_783596,-0.443,-1.64,-2.278,0.057,-2.316,-1.795,-0.455,-0.24,-2.092
NP_001239498,-0.019,1.539,1.621,0.213,1.28,1.656,0.134,0.161,1.775
NP_033269,-0.019,1.539,1.621,0.213,1.28,1.656,0.134,0.161,1.775
NP_033273,-0.019,1.539,1.621,0.213,1.28,1.656,0.134,0.161,1.775
NP_665906,-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
NP_665910,-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
NP_001160018,-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
NP_001160017,-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
NP_001160008,-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
NP_001160015,-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
NP_001160009,-0.082,0.095,0.241,0.193,0.052,-0.011,0.414,-0.117,0.474
NP_001171488,0.037,0.671,0.676,0.232,1.346,0.652,0.564,0.194,0.714
NP_001171512,0.037,0.671,0.676,0.232,1.346,0.652,0.564,0.194,0.714
NP_001171513,0.037,0.671,0.676,0.232,1.346,0.652,0.564,0.194,0.714
NP_001171514,0.037,0.671,0.676,0.232,1.346,0.652,0.564,0.194,0.714
NP_001073332,0.037,0.671,0.676,0.232,1.346,0.652,0.564,0.194,0.714
NP_001073331,0.037,0.671,0.676,0.232,1.346,0.652,0.564,0.194,0.714
NP_033270,-0.192,2.251,2.391,0.61,1.988,2.246,0.341,0.245,2.453
NP_003484,-0.492,-0.226,-1.212,0.147,-1.735,-0.274,0.16,-0.309,-1.129
