Substrate_ACC,Substrate_GN,Cortex_1,Cortex_2,Cortex_3,PDGFRA_4,PDGFRA_5,PDGFRA_6,PDGFRA_7,NTRK_8,NTRK_9,NTRK_10
F7B0R9,2010300C02Rik,650484.7866,648196.7678,663336.1391,359160.2885,308976.5845,291201.8811,403714.6552,291803.1211,265739.8032,321503.8387
A0A087WSS1,2310035C23Rik,1352441.346,1344812.012,1366607.922,1072243.434,1092089.703,1087625.329,1084459.502,803865.4511,812596.0467,889747.066
B8JJ69,2310061I04Rik,580244.9206,534021.6526,514811.7043,334153.1818,373625.4289,278332.1972,325796.5045,271517.0655,292432.5488,307186.3652
Q3U3D8,3110043O21Rik,152462.6944,147651.5852,154734.012,120029.7147,122726.6475,121152.3827,134404.3901,93916.10828,94650.48503,103127.392
Q8CDJ6,4932411E22Rik,30906.00969,29657.75949,38102.76111,22235.22617,21971.7599,18597.86285,23864.5233,20264.02013,18170.93884,19668.64903
F6YAT5,4932438A13Rik,391058.429,395813.9381,400382.9668,266089.5657,276949.8598,268315.6814,277397.9692,228746.738,228699.8057,249204.7684
H7BX33,4933434E20Rik,235221.1704,223827.185,235063.6274,165586.8539,169094.5402,172861.3882,184521.3905,151201.9297,151387.6293,165651.4591
J3QP43,6330403A02Rik,241336.0107,244765.6537,260765.3541,150919.3566,134367.169,148911.103,171795.9876,152510.7182,118269.9842,150339.075
Q3TA40,6430548M08Rik,1932883.844,1668480.026,1956355.465,940467.6372,997104.4626,846524.1091,1016378.324,716662.2658,772149.3484,883381.5871
Q0VAW6,8030462N17Rik,541600.2693,517343.3226,513059.4702,370459.0171,395095.8231,352138.4971,336179.8205,347935.8766,336795.3996,346842.589
E9QMK9,9030617O03Rik,299989.6463,282182.5983,282015.87,225233.0074,255013.7486,195077.8898,203244.2311,158854.8384,150435.5759,193977.1859
G3X9V7,A830010M20Rik,2682448.488,2551218.109,2671334.724,1016671.931,1166561.209,1192652.936,1244147.308,864943.4469,914959.0169,977338.5085
B2RQF6,A830018L16Rik,130765.201,97380.85019,120277.0942,71212.85966,85189.93564,65535.20472,86699.72409,57874.67964,57947.24449,62133.63089
Q3UHJ0,Aak1,4489630.098,4346569.441,4441379.082,2796326.661,2712238.64,2717338.552,3024981.068,2352770.342,2371083.335,2566117.146
Q99K67,Aass,267032.8221,226106.6223,234903.8123,154909.1017,159680.3098,149103.1649,153406.0578,140683.2629,130885.6365,134470.2838
Q80YE4,Aatk,171653.3031,168656.1032,175141.9542,141703.5628,143767.8074,149729.5882,141733.0791,104555.7107,107366.5608,119103.3164
P61922,Abat,27797166.89,28633714.94,25162152.75,18166091.6,20668252.14,17246196.83,18888069.26,12676995.01,14481988.81,17796735.28
Q8K448,Abca5,691956.1391,675459.429,669629.8162,508182.837,508242.7349,429991.1483,414846.3907,368278.0902,387581.2552,398352.5248
Q9JI39,Abcb10,247595.1462,244238.5982,280077.6598,231515.4668,234292.6609,228570.3781,231884.9504,148489.4004,157044.9124,185582.111
Q9CXJ4,Abcb8,420116.3135,431109.8723,433010.264,300376.8088,320865.3491,274326.3141,296253.7261,272415.7108,257222.7551,298952.4591
Q9JJ59,Abcb9,423106.947,429731.2655,399918.4063,323039.3708,316000.2864,305283.2458,251658.3021,181767.166,188348.3378,254268.2435
B2RUS7,Abcc8,469902.6743,451827.6613,442857.3337,246063.8751,243558.221,235671.7263,256833.837,177598.4002,186363.8868,210789.8997
Q91WA9,Abcg4,96764.19552,98365.58732,95687.3203,70797.06455,74087.0746,67255.94161,68965.62772,56510.00892,56838.61997,68825.82692
Q8VCR7,Abhd14b,207211.6104,212028.2824,213845.145,159189.8665,187263.8395,138094.0029,159336.7473,128174.2718,136222.8182,133371.8678
Q9Z1Q2,Abhd16a,570622.8298,574605.7664,555386.8182,439621.177,426185.7387,406938.7322,406757.0402,353929.7192,333905.9557,390833.9118
Q80YU0,Abhd16b,126301.8476,113706.3886,112795.3438,92570.90244,93051.15489,92459.20786,82730.70978,86262.26982,67036.3025,84084.80968
Q8R0P8,Abhd8,143530.469,167044.913,146769.3764,108615.4918,114461.5354,106673.8011,112867.7671,90959.25093,86107.31383,107343.5567
Q8CBW3-2,Abi1,4832493.111,4630802.541,4779777.584,3135408.177,2985606.879,3222260.232,3726251.729,3211411.019,2989917.122,3390230.063
P62484,Abi2,5709578.2,5413893.447,5439810.269,3209280.219,3220843.802,3542148.577,3850286.004,3207606.305,3266347.39,3379127.698
E9Q9C4,Ablim1,1098293.361,983551.7848,1055513.731,597815.3388,576300.8615,546483.8653,619921.7989,455865.8775,474213.3316,512022.5667
Q8BL65-2,Ablim2,1143340.005,1094647.757,1106335.82,662774.9242,651894.3111,589517.6563,650956.5443,429409.4334,420612.2755,552764.351
Q69ZX8,Ablim3,970765.639,939421.7764,946449.7003,570270.684,587402.4726,492709.9078,561731.6741,368971.8177,364139.3038,481479.4979
Q5SSL4,Abr,2566604.548,2443194.983,2586214.972,1460549.893,1413420.781,1430243.099,1693251.053,1270008.824,1243975.419,1499126.931
Q61282,Acan,517740.5463,525811.8411,522250.9774,406891.0521,374836.1342,253304.8815,317289.6468,228806.3816,231850.2954,307562.1842
Q8QZT1,Acat1,16299537.58,16641347.51,16526431.65,12030080.02,12801268.34,11465648.05,12736247.9,10633620.33,10827482.59,11530863.33
Q9D061,Acbd6,656523.9114,615017.6843,650062.8263,385496.0389,390713.9853,392540.0494,454215.268,360095.3951,368585.3888,400827.4393
P21836,Ache,302310.3673,369722.675,263031.6674,170078.8228,208924.5711,145003.7447,169572.2425,126582.9633,128027.9991,144388.0864
Q99KI0,Aco2,38853983.3,38153371.83,37091269.91,24191171.41,24797023.48,22427131.76,25208925.25,19172297.45,19258120.63,22772197.42
Q32MW3,Acot10,1706179.473,1815461.159,1710021.78,1100540.22,1121181.586,1032310.617,1089935.546,913199.3263,820644.1903,1038061.538
Q9CQR4,Acot13,3513998.702,3456744.038,3288015.37,2418395.895,2286968.771,2157294.6,2482868.505,2039356.283,1827758.018,2277007.664
Q91V12,Acot7,9099407.611,9534814.987,9284862.762,7321662.717,6729688.626,6691226.796,6688900.977,3963705.774,4010615.605,5806034.714
Q9R0X4,Acot9,1716450.276,1798997.02,1668508.137,1101431.875,1130328.31,1041234.301,1131665.44,892955.995,837099.2837,1023801.041
P41216,Acsl1,1487426.131,1489991.601,1477147.46,1024853.261,1098150.018,987592.4396,1002231.381,722528.4303,743542.8232,847206.5405
Q91WC3,Acsl6,2500014.033,2327474.909,2304397.379,1587636.648,1655964.499,1505759.244,1621885.708,1118041.209,1203918.746,1445263.169
Q99MR0,Actl6b,643118.6263,621074.3082,643954.1275,417533.4331,425704.4426,389545.3899,461890.5644,369947.9609,388438.612,396237.0428
A1BN54,Actn1,10445633.76,10446476.93,8877627.907,3997093.495,4580481.18,4067742.509,4457348.266,4201113.333,3726274.587,4274125.326
Q9JI91,Actn2,2260878.405,2591757.087,1708696.236,752946.7365,1131362.394,835434.7489,770118.7266,753892.0872,620504.3065,839081.892
D3Z0L8,Actn4,7224531.669,7212015.405,6658252.352,4477099.169,4565097.997,4809074.905,4837247.778,4554564.44,4151795.074,4531946.716
Q9QZB7,Actr10,1019400.052,1028212.309,997470.2442,769042.9291,789697.8571,757312.4183,768360.2923,664149.3054,658677.5451,700904.2358
Q641P0,Actr3b,2932723.903,2873974.649,2826378.673,2022336.832,1785671.851,1891852.472,2273523.7,1898708.975,1658348.334,1970019.209
Q61271,Acvr1b,248891.4338,290682.7186,259887.5685,170537.7663,168439.2048,163158.8664,171750.4445,144987.3211,136267.6117,163726.0416
Q8K348,Acvr1c,116763.4413,151593.8131,118772.8113,88836.45072,73459.75552,88189.70523,69456.74842,62458.91651,55925.79547,73072.38334
P56376,Acyp1,4973290.358,4922699.952,4986886.449,3873763.699,3337916.478,3205695.69,3782551.758,2639187.258,2676911.546,3272730.011
P56375,Acyp2,808386.3309,994254.0578,848834.9124,829746.5828,699686.917,535109.4848,574832.85,479924.6655,446734.6909,604944.1991
Q9R1V4,Adam11,1163623.587,1193429.654,1249830.894,673347.833,645754.215,716004.67,773371.3886,526443.0422,514453.3308,738416.3138
Q9R1V6,Adam22,3246982.136,3359910.904,3257706.305,1665653.055,1774414.036,1728167.532,1753355.887,1270559.401,1335602.705,1528650.703
Q9R1V7,Adam23,922619.9748,895611.1883,859078.2502,571718.0185,612195.5956,581219.4865,535415.7752,377428.4836,389365.5382,478519.3285
E9PY16,Adap1,3193599.521,3082944.502,3023561.985,1798677.744,1720060.667,1632153.328,1754953.653,1169621.355,1115163.972,1465013.735
Q60936,Adck3,169844.6815,165286.1655,163953.8901,128750.1444,120383.2856,114570.9902,126424.0037,102378.3756,93187.9562,116721.4264
Q80V03,Adck5,311645.2111,322803.5601,307082.2513,244585.1709,248953.8556,234035.1479,242719.7389,208342.2262,209357.91,227539.8625
O88444,Adcy1,211627.8068,216012.0972,211359.3852,130118.5042,129218.7219,123142.7133,134798.7236,106673.0822,102945.0933,119586.5399
Q80TL1,Adcy2,355380.2283,337646.7281,378919.2069,165378.5689,157220.6908,151408.0336,193054.6823,148451.7279,143555.9215,161247.4282
Q8VHH7,Adcy3,292240.6775,301338.1851,282979.979,178770.0042,204901.3794,183337.4587,192224.3452,205540.72,200916.4519,199620.3616
P84309,Adcy5,1772229.865,2354923.745,1113109.272,577430.8676,1233991.363,644020.5823,481247.7999,405559.7934,407568.7587,464398.2376
Q01341,Adcy6,333743.8073,370799.5618,266020.9017,179727.7482,265903.1394,193927.8371,167595.6747,156741.0396,161112.0783,155377.0612
P97490,Adcy8,525876.1592,502941.387,562698.5756,388382.2896,428076.5906,353046.5166,430450.1197,244626.6738,293745.2748,340456.2416
P51830,Adcy9,1356521.261,1318743.39,1281134.18,640330.0309,642625.8126,770998.069,816675.9894,546486.4829,497806.9838,677223.944
Q9QYC0,Add1,4703630.364,4540608.796,4680914.209,2962551.893,2988965.932,2983766.805,3350331.814,2716239.832,2750003.107,2978060.175
Q9QYB8,Add2,3958750.741,3867862.17,3949459.181,2090244.253,2063346.121,2007415.97,2409813.986,1735146.007,1652351.828,1967694.107
Q60613,Adora2a,33386.59737,38291.24867,26746.68853,19919.04967,25899.01811,18987.96003,22766.89972,19282.04882,20441.23259,21064.49195
P97717,Adra1b,48459.36719,51009.31952,54747.16999,30281.90026,25260.31069,32714.85272,30173.84771,18532.96947,20147.53665,33257.66845
P34971,Adrb1,50363.52655,46083.22287,48542.84621,29885.8242,25026.76577,27599.7622,28624.91727,36544.36749,34903.45894,34343.33634
Q99MK8,Adrbk1,1083192.542,1035640.919,1108144.701,708979.0424,713705.0032,707997.0494,729228.1821,655086.1622,647166.4727,714631.4983
Q3UYH7,Adrbk2,355757.0046,336751.9233,373194.5258,219011.1141,225756.1383,224853.7698,243936.6368,207840.0917,204349.1584,226913.4925
P28650,Adssl1,673078.2016,705128.5574,655734.0343,745008.7288,678587.6733,656854.3369,568378.9308,431698.0412,424475.5933,481247.2128
Q8JZQ2,Afg3l2,7776264.251,7834026.612,7674957.15,4647259.809,5245817.739,4434126.265,4870741.713,4210489.255,4160458.009,4604488.354
Q3UHD9,Agap2,934741.787,881699.5697,927528.9197,469196.7033,465985.5189,461719.2582,539125.374,433438.8552,426782.5914,468981.4963
Q8VHH5-2,Agap3,1958563.849,1861581.561,1796002.128,1149044.652,1082111.335,1071990.139,1355858.189,948788.8838,899303.6897,1137720.142
Q09LZ8,Agbl4,244512.9592,232374.8029,253614.3837,107199.4062,131920.4428,112591.08,127360.5267,90116.94512,90360.40249,108977.1541
Q80WC7,Agfg2,382210.38,369619.3182,367328.14,248144.853,258628.1697,212202.9797,264485.7919,228269.1802,214938.8308,230465.8925
Q9ESW4,Agk,2620183.207,2561201.938,2433507.649,1626845.479,1672572.031,1597245.982,1821682.94,1517346.882,1566041.141,1634826.564
O35083,Agpat1,201894.701,186522.161,191212.512,145953.6956,142545.5381,143658.5672,153991.8035,128818.0187,128637.5046,131370.8193
Q641K1,Agtpbp1,427296.6378,419369.6414,405668.8188,282296.8606,275476.0384,276357.7145,266314.8042,215881.2085,210115.0807,227488.4923
Q3TY86,Aifm3,540492.1047,580029.2582,507516.7955,282975.4029,296904.2023,262449.44,278104.2204,213125.9972,223626.9933,279082.949
A2ALI5,Ajap1,70904.33625,61206.63816,70207.71717,38072.53582,41888.12705,35517.65892,43562.38216,35152.75049,29964.28096,34325.39551
Q9R0Y5,Ak1,12730876.87,11879601.1,12528385.04,8114846.435,8351264.215,7798173.084,8520988.717,5634195.085,5715721.802,6708978.698
Q9WUR9,Ak4,1852163.793,1699756.331,1983669.266,1282842.316,1156089.586,1217792.505,1382404.488,1090317.636,1056290.084,1248908.849
Q920P5,Ak5,1593119.799,1414974.513,1717007.28,897615.6877,675561.0201,939201.9496,1024770.171,932748.5516,864010.3183,1035301.282
Q9D2H2,Ak7,36315.97583,43285.97576,30048.80568,35381.14038,47257.04049,35043.56683,44723.253,20041.09808,24613.45156,27315.3188
O88845,Akap10,512127.4864,491791.3727,482017.4544,364134.5705,363215.6295,360329.8247,387199.7459,316747.2291,321814.5195,333822.0904
D3YVF0,Akap5,1067713.683,1038842.834,909533.4588,299692.0801,415847.7497,269673.98,374506.9094,304798.233,304313.5934,315316.7341
E9Q9K8,Akap6,388806.1166,392997.0986,379796.0206,317480.152,320185.4497,316336.9984,293252.9509,246403.8312,253318.7483,266813.472
