accession_numbers,Substrate_ACC,Gene Names,Substrate_GN
NP_001083060,A0A096LP55,UQCRHL,UQCRHL
NP_004640,A0A0B4J2D5,GATD3B HES1 KNPI,GATD3B
NP_001182201,A0A0J9YWL9,TEX13C,TEX13C
NP_060697,A0AVT1,UBA6 MOP4 UBE1L2,UBA6
NP_065779,A0FGR8,ESYT2 FAM62B KIAA1228,ESYT2
NP_001012302,A1A5B4,ANO9 PIG5 TMEM16J TP53I5,ANO9
NP_082564,A2A432,Cul4b Kiaa0695,Cul4b
NP_001078964,A2A5R2,Arfgef2 Arfgep2 Big2,Arfgef2
NP_067496,A2AGH6,Med12 Kiaa0192 Mopa Tnrc11 Trap230,Med12
NP_081602,A2AM29,Mllt3 Af9,Mllt3
NP_001078847,A2AQP0,Myh7b,Myh7b
NP_001153802,A2BDX3,Mocs3 Uba4,Mocs3
NP_001074288,A2BH40,Arid1a Baf250 Baf250a Osa1 Smarcf1,Arid1a
NP_919238,A2CG63,Arid4b Sap180,Arid4b
NP_056993,A2RRP1,NBAS NAG,NBAS
NP_689547,A2RTX5,TARS3 TARSL2,TARS3
NP_689994,A2RTY3,HEATR9 C17orf66,HEATR9
NP_001242934,A4UUI3,Gbp4,Gbp4
NP_001035830,A6NDG6,PGP,PGP
NP_001154970,A6NEE1,PLEKHD1,PLEKHD1
NP_079079,A6NHL2,TUBAL3,TUBAL3
NP_061216,A6X935,Itih4,Itih4
NP_065935,A7E2Y1,MYH7B KIAA1512,MYH7B
NP_057102,A8MW92,PHF20L1 CGI-72,PHF20L1
NP_083677,A9Z1V5,Vwa5b1,Vwa5b1
NP_001128118,B1AXP6,Tomm5 Tom5,Tomm5
NP_001028594,B1AZI6,Thoc2,Thoc2
NP_001074784,B2KF05,Brpf3,Brpf3
NP_001170974,B2RPU2,Plekhd1,Plekhd1
NP_001242962,B2RRE7,Otud4 Kiaa1046,Otud4
NP_808489,B2RWS6,Ep300 P300,Ep300
NP_666080,B2RWW0,Tagap,Tagap
NP_001130033,B2RXH8,HNRNPCL2 HNRNPCP5,HNRNPCL2
